date,daily_revenue
2024-09-01,8942.380000000001
2024-09-02,5892.25
2024-09-03,2318.75
2024-09-04,7883.13
2024-09-05,10827.130000000001
2024-09-06,12402.02
2024-09-07,6204.38
2024-09-08,6140.01
2024-09-09,3015.0
2024-09-10,3887.5
2024-09-11,7391.25
2024-09-12,2678.75
2024-09-13,1692.5
2024-09-14,1245.63
2024-09-15,8213.76
2024-09-16,1032.5
2024-09-17,3325.25
2024-09-18,8972.13
2024-09-19,6305.49
2024-09-20,9832.880000000001
2024-09-21,5042.75
2024-09-22,12173.75
2024-09-23,11544.75
2024-09-24,8843.76
2024-09-25,2740.51
2024-09-26,7319.38
2024-09-27,1928.75
2024-09-28,4011.24
2024-09-29,4388.74
2024-09-30,29005.0
